1 0 {'weight': 1.0}
2 1 {'weight': 0.75}
2 19 {'weight': 0.75}
2 22 {'weight': 0.75}
3 0 {'weight': 0.75}
4 13 {'weight': 0.5}
4 15 {'weight': 0.5}
5 8 {'weight': 0.75}
6 1 {'weight': 0.5}
6 3 {'weight': 0.5}
6 9 {'weight': 0.5}
6 19 {'weight': 0.5}
7 19 {'weight': 0.75}
7 22 {'weight': 0.75}
8 22 {'weight': 0.75}
9 1 {'weight': 0.75}
9 3 {'weight': 0.5}
9 19 {'weight': 0.5}
10 6 {'weight': 0.75}
10 21 {'weight': 0.5}
11 3 {'weight': -0.75}
11 6 {'weight': -0.5}
11 7 {'weight': -0.75}
11 9 {'weight': -0.5}
11 10 {'weight': -0.75}
11 13 {'weight': -0.75}
11 15 {'weight': -1.0}
11 19 {'weight': -0.25}
11 28 {'weight': -0.75}
11 39 {'weight': -1.0}
12 6 {'weight': 1.0}
12 21 {'weight': 0.75}
13 2 {'weight': 0.75}
13 15 {'weight': 0.5}
14 15 {'weight': 1.0}
15 2 {'weight': 1.0}
16 7 {'weight': 1.0}
17 9 {'weight': 0.25}
17 21 {'weight': 0.75}
18 8 {'weight': 0.75}
19 13 {'weight': 0.5}
19 21 {'weight': 0.5}
20 13 {'weight': 1.0}
21 7 {'weight': 0.5}
21 22 {'weight': 0.25}
22 1 {'weight': 1.0}
22 25 {'weight': -0.75}
23 3 {'weight': 0.5}
23 10 {'weight': 0.75}
23 17 {'weight': 0.25}
23 30 {'weight': 0.5}
23 37 {'weight': 0.25}
24 25 {'weight': 0.75}
25 9 {'weight': -0.5}
26 15 {'weight': -0.75}
27 28 {'weight': 0.5}
27 39 {'weight': -0.5}
28 9 {'weight': -0.25}
30 9 {'weight': 0.5}
30 39 {'weight': 0.75}
31 7 {'weight': 0.75}
32 22 {'weight': -0.75}
33 34 {'weight': 0.75}
34 3 {'weight': 0.5}
34 10 {'weight': 0.75}
34 17 {'weight': 0.75}
34 30 {'weight': 0.5}
34 36 {'weight': 0.75}
34 37 {'weight': 1.0}
35 3 {'weight': 0.5}
35 10 {'weight': 0.75}
35 17 {'weight': 0.5}
35 30 {'weight': 0.5}
35 36 {'weight': 0.5}
35 37 {'weight': 0.5}
36 9 {'weight': 0.5}
37 9 {'weight': 0.5}
37 19 {'weight': 0.5}
37 25 {'weight': -1.0}
39 9 {'weight': 0.25}
